,Planet,Earth_Masses,Temperature_Kelvin,Year,Distance
1625,Kepler-296 f,50.848,274.2,2014,1820.71
1626,Kepler-297 b,81.3568,546.8,2014,2232.5458
1627,Kepler-297 c,185.2774,439.4,2014,2232.5458
1628,Kepler-298 b,55.615,536.5,2014,1546.055
1629,Kepler-298 c,54.6616,413.2,2014,1546.055
1630,Kepler-298 d,70.8694,275.4,2014,1546.055
1631,Kepler-299 b,37.5004,1374.8,2014,3612.0148
1632,Kepler-299 c,75.0008,1033.7,2014,3612.0148
1633,Kepler-299 d,52.7548,796.4,2014,3612.0148
1634,Kepler-299 e,53.0726,583.5,2014,3612.0148
1635,Kepler-300 b,47.3522,895.3,2014,2456.8338
1636,Kepler-300 c,63.8778,568.9,2014,2456.8338
1637,Kepler-301 b,38.136,1399.3,2014,2394.4374
1638,Kepler-301 c,38.136,1082.4,2014,2394.4374
1639,Kepler-301 d,49.5768,793.6,2014,2394.4374
1640,Kepler-302 b,115.0436,701.8,2014,5582.7174
1641,Kepler-302 c,353.0758,434.4,2014,5582.7174
1642,Kepler-303 b,25.1062,759.4,2014,627.0284
1643,Kepler-303 c,32.4156,493.4,2014,627.0284
1644,Kepler-304 b,81.039,908.1,2014,1572.2654
1645,Kepler-304 c,61.6532,774.4,2014,1572.2654
1646,Kepler-304 d,77.861,634.7,2014,1572.2654
1647,Kepler-304 e,34.0046,1228.2,2016,1572.2654
1648,Kepler-305 d,76.9076,612.3,2014,3303.8796
1649,Kepler-306 b,43.2208,867.6,2014,2519.4258
1650,Kepler-306 c,66.738,748.3,2014,2519.4258
1651,Kepler-306 d,69.916,559.5,2014,2519.4258
1652,Kepler-306 e,64.5134,407.5,2014,2519.4258
1653,Kepler-308 b,60.0642,924.3,2014,5224.2152
